colour	y	x	group	clickSelects	showSelected1	PANEL
#0000FF	-0.499163017051487	1.77815125038364	1	1	featureless	5
#0000FF	-0.501295679726931	2.04139268515823	1	1	featureless	5
#0000FF	-0.501522759171867	2.30102999566398	1	1	featureless	5
#0000FF	-0.499560448983671	1	2	2	featureless	5
#0000FF	-0.479509956063626	1.25527250510331	2	2	featureless	5
#0000FF	-0.500495808204605	1.51851393987789	2	2	featureless	5
#0000FF	-0.501362243645379	1.77815125038364	2	2	featureless	5
#0000FF	-0.501505922980151	2.04139268515823	2	2	featureless	5
#0000FF	-0.501522759171867	2.30102999566398	2	2	featureless	5
#0000FF	-0.487462174864131	1	3	3	featureless	5
#0000FF	-0.499411670550671	1.25527250510331	3	3	featureless	5
#0000FF	-0.500617197039048	1.51851393987789	3	3	featureless	5
#0000FF	-0.501112094374242	1.77815125038364	3	3	featureless	5
#0000FF	-0.50125909084502	2.04139268515823	3	3	featureless	5
#0000FF	-0.501522759171867	2.30102999566398	3	3	featureless	5
#FF0000	-0.444957863694433	1	4	1	rpart	5
#FF0000	-0.493212843697765	1.25527250510331	4	1	rpart	5
#FF0000	-0.472735845586422	1.51851393987789	4	1	rpart	5
#FF0000	-0.482427481060923	1.77815125038364	4	1	rpart	5
#FF0000	-0.484850204820387	2.04139268515823	4	1	rpart	5
#FF0000	-0.399854340058355	2.30102999566398	4	1	rpart	5
#FF0000	-0.499560448983671	1	5	2	rpart	5
#FF0000	-0.479509956063626	1.25527250510331	5	2	rpart	5
#FF0000	-0.459378849999955	1.51851393987789	5	2	rpart	5
#FF0000	-0.442872576609639	1.77815125038364	5	2	rpart	5
#FF0000	-0.463329508637924	2.04139268515823	5	2	rpart	5
#FF0000	-0.399854340058355	2.30102999566398	5	2	rpart	5
#FF0000	-0.487462174864131	1	6	3	rpart	5
#FF0000	-0.499411670550671	1.25527250510331	6	3	rpart	5
#FF0000	-0.418519933470681	1.51851393987789	6	3	rpart	5
#FF0000	-0.446681593662846	1.77815125038364	6	3	rpart	5
#FF0000	-0.444262351415408	2.04139268515823	6	3	rpart	5
#FF0000	-0.399854340058355	2.30102999566398	6	3	rpart	5
#0000FF	-0.080453618038023	1	1	1	featureless	6
#0000FF	-0.0693953835379009	1.25527250510331	1	1	featureless	6
#0000FF	-0.0728282505708177	1.51851393987789	1	1	featureless	6
#0000FF	-0.0706572892543253	1.77815125038364	1	1	featureless	6
#0000FF	-0.0735071953906402	2.04139268515823	1	1	featureless	6
#0000FF	-0.07730635457589	2.30102999566398	1	1	featureless	6
#0000FF	-0.0676504868538636	1	2	2	featureless	6
#0000FF	-0.0693371325250506	1.25527250510331	2	2	featureless	6
#0000FF	-0.0345683339885447	1.51851393987789	2	2	featureless	6
#0000FF	-0.0677377362247863	1.77815125038364	2	2	featureless	6
#0000FF	-0.0658685228753342	2.04139268515823	2	2	featureless	6
#0000FF	-0.07730635457589	2.30102999566398	2	2	featureless	6
#0000FF	-0.0768787872326907	1	3	3	featureless	6
#0000FF	-0.0764832824119617	1.25527250510331	3	3	featureless	6
#0000FF	-0.0789310580068918	1.51851393987789	3	3	featureless	6
#0000FF	-0.0805815182681061	1.77815125038364	3	3	featureless	6
#0000FF	-0.0805797702242702	2.04139268515823	3	3	featureless	6
#0000FF	-0.07730635457589	2.30102999566398	3	3	featureless	6
#FF0000	-0.080453618038023	1	4	1	rpart	6
#FF0000	-0.0693953835379009	1.25527250510331	4	1	rpart	6
#FF0000	-0.0996949772327056	1.51851393987789	4	1	rpart	6
#FF0000	-0.296777485427291	1.77815125038364	4	1	rpart	6
#FF0000	-0.288454790911948	2.04139268515823	4	1	rpart	6
#FF0000	-0.333080746685074	2.30102999566398	4	1	rpart	6
#FF0000	-0.0676504868538636	1	5	2	rpart	6
#FF0000	-0.0693371325250506	1.25527250510331	5	2	rpart	6
#FF0000	-0.0646511748048872	1.51851393987789	5	2	rpart	6
#FF0000	-0.237845210427195	1.77815125038364	5	2	rpart	6
#FF0000	-0.276306948340217	2.04139268515823	5	2	rpart	6
#FF0000	-0.333080746685074	2.30102999566398	5	2	rpart	6
#FF0000	-0.0768787872326907	1	6	3	rpart	6
#FF0000	-0.0764832824119617	1.25527250510331	6	3	rpart	6
#FF0000	-0.119917774536707	1.51851393987789	6	3	rpart	6
#FF0000	-0.213627199777644	1.77815125038364	6	3	rpart	6
#FF0000	-0.256776389019468	2.04139268515823	6	3	rpart	6
#FF0000	-0.333080746685074	2.30102999566398	6	3	rpart	6
